id,country,sex,height_cm
rhop00105,AUSTRALIA,woman,171
rhop00106,AUSTRALIA,woman,165
rhop00107,AUSTRALIA,woman,176
rhop00108,AUSTRALIA,woman,159
rhop00109,AUSTRALIA,woman,159
rhop00110,AUSTRALIA,woman,167
rhop00111,AUSTRALIA,woman,163
rhop00112,AUSTRALIA,woman,164
rhop00113,AUSTRALIA,woman,157
rhop00114,AUSTRALIA,woman,158
rhop00115,AUSTRALIA,woman,178
rhop00116,AUSTRALIA,woman,174
rhop00117,AUSTRALIA,woman,160
rhop00118,AUSTRALIA,woman,171
rhop00119,AUSTRALIA,woman,165
rhop00120,AUSTRALIA,woman,171
rhop00121,AUSTRALIA,woman,176
rhop00122,AUSTRALIA,woman,159
rhop00123,AUSTRALIA,woman,170
rhop00124,AUSTRALIA,woman,165
rhop00125,AUSTRALIA,woman,171
rhop00126,AUSTRALIA,woman,168
rhop00127,AUSTRALIA,woman,167
rhop00128,AUSTRALIA,woman,166
rhop00129,AUSTRALIA,woman,163
rhop00130,AUSTRALIA,woman,170
rhop00131,AUSTRALIA,woman,164
rhop00132,AUSTRALIA,woman,168
rhop00133,AUSTRALIA,woman,168
rhop00134,AUSTRALIA,woman,169
rhop00135,AUSTRALIA,woman,172
rhop00136,AUSTRALIA,woman,165
rhop00137,AUSTRALIA,woman,166
rhop00138,AUSTRALIA,woman,164
rhop00139,AUSTRALIA,woman,169
rhop00140,AUSTRALIA,woman,164
rhop00141,AUSTRALIA,woman,168
rhop00142,AUSTRALIA,woman,166
rhop00143,AUSTRALIA,woman,170
rhop00144,AUSTRALIA,woman,169
rhop00145,AUSTRALIA,woman,169
rhop00146,AUSTRALIA,woman,172
rhop00147,AUSTRALIA,woman,165
rhop00148,AUSTRALIA,woman,167
rhop00149,AUSTRALIA,woman,167
rhop00150,AUSTRALIA,woman,168
rhop00151,AUSTRALIA,woman,166
rhop00152,AUSTRALIA,woman,167
rhop00153,AUSTRALIA,woman,166
rhop00154,AUSTRALIA,woman,170
rhop00155,AUSTRALIA,woman,165
rhop00156,AUSTRALIA,woman,171
rhop00157,AUSTRALIA,woman,166
rhop00158,AUSTRALIA,woman,165
rhop00159,AUSTRALIA,woman,168
rhop00160,AUSTRALIA,woman,168
rhop00161,AUSTRALIA,woman,172
rhop00162,AUSTRALIA,woman,166
rhop00163,AUSTRALIA,woman,163
rhop00164,AUSTRALIA,woman,165
rhop00165,AUSTRALIA,woman,165
rhop00166,AUSTRALIA,woman,171
rhop00167,AUSTRALIA,woman,164
rhop00168,AUSTRALIA,woman,169
rhop00169,AUSTRALIA,woman,172
rhop00170,AUSTRALIA,woman,163
rhop00171,AUSTRALIA,woman,172
rhop00172,AUSTRALIA,woman,165
rhop00173,AUSTRALIA,woman,172
rhop00174,AUSTRALIA,woman,166
rhop00175,AUSTRALIA,woman,171
rhop00176,AUSTRALIA,woman,172
rhop00177,AUSTRALIA,woman,167
rhop00178,AUSTRALIA,woman,171
rhop00179,DENMARK,man,187
rhop00180,DENMARK,man,179
rhop00181,DENMARK,man,175
rhop00182,DENMARK,man,168
rhop00183,DENMARK,man,181
rhop00184,DENMARK,man,192
rhop00185,DENMARK,man,165
rhop00186,DENMARK,man,164
rhop00187,DENMARK,man,184
rhop00188,DENMARK,man,170
rhop00189,DENMARK,man,190
rhop00190,DENMARK,man,173
rhop00191,DENMARK,man,166
rhop00192,DENMARK,man,168
rhop00193,DENMARK,man,190
rhop00194,DENMARK,man,182
rhop00195,DENMARK,man,191
rhop00196,DENMARK,man,166
rhop00197,DENMARK,man,185
rhop00198,DENMARK,man,190
rhop00199,DENMARK,man,171
rhop00200,DENMARK,man,175
rhop00201,DENMARK,man,184
rhop00202,DENMARK,man,172
rhop00203,DENMARK,man,175
rhop00204,DENMARK,man,176
rhop00205,DENMARK,man,176
rhop00206,DENMARK,man,184
rhop00207,DENMARK,man,167
rhop00208,DENMARK,man,172
rhop00209,DENMARK,man,192
rhop00210,DENMARK,man,188
rhop00211,DENMARK,man,191
rhop00212,DENMARK,man,187
rhop00213,DENMARK,man,172
rhop00214,DENMARK,man,174
rhop00215,DENMARK,man,180
rhop00216,DENMARK,man,179
rhop00217,DENMARK,man,176
rhop00218,DENMARK,man,174
rhop00219,DENMARK,man,179
rhop00220,DENMARK,man,174
rhop00221,DENMARK,man,174
rhop00222,DENMARK,man,172
rhop00223,DENMARK,man,174
rhop00224,DENMARK,man,179
rhop00225,DENMARK,man,173
rhop00226,DENMARK,man,182
rhop00227,DENMARK,man,178
rhop00228,DENMARK,man,177
rhop00229,DENMARK,man,174
rhop00230,DENMARK,man,181
rhop00231,DENMARK,man,178
rhop00232,DENMARK,man,177
rhop00233,DENMARK,man,178
rhop00234,DENMARK,man,180
rhop00235,DENMARK,man,173
rhop00236,DENMARK,man,177
rhop00237,DENMARK,man,177
rhop00238,DENMARK,man,179
rhop00239,DENMARK,man,172
rhop00240,DENMARK,man,173
rhop00241,DENMARK,man,172
rhop00242,DENMARK,man,172
rhop00243,DENMARK,man,176
rhop00244,DENMARK,man,176
rhop00245,DENMARK,man,176
rhop00246,DENMARK,man,172
rhop00247,DENMARK,man,173
rhop00248,DENMARK,man,175
rhop00249,DENMARK,man,173
rhop00250,DENMARK,man,172
rhop00251,DENMARK,man,178
rhop00252,DENMARK,man,173
rhop00253,DENMARK,man,177
rhop00254,DENMARK,man,181
rhop00255,DENMARK,man,180
rhop00256,DENMARK,man,181
rhop00257,DENMARK,man,174
rhop00258,DENMARK,man,185
rhop00259,DENMARK,man,175
rhop00260,DENMARK,man,184
rhop00261,DENMARK,man,175
rhop00262,DENMARK,man,174
rhop00263,DENMARK,man,173
rhop00264,DENMARK,man,176
rhop00265,DENMARK,man,174
rhop00266,DENMARK,man,181
rhop00267,DENMARK,man,174
rhop00268,DENMARK,woman,160
rhop00269,DENMARK,woman,174
rhop00270,DENMARK,woman,162
rhop00271,DENMARK,woman,177
rhop00272,DENMARK,woman,159
rhop00273,DENMARK,woman,165
rhop00274,DENMARK,woman,166
rhop00275,DENMARK,woman,165
rhop00276,DENMARK,woman,176
rhop00277,DENMARK,woman,177
rhop00278,DENMARK,woman,167
rhop00279,DENMARK,woman,164
rhop00280,DENMARK,woman,171
rhop00281,DENMARK,woman,177
rhop00282,DENMARK,woman,168
rhop00283,DENMARK,woman,174
rhop00284,DENMARK,woman,173
rhop00285,DENMARK,woman,172
rhop00286,DENMARK,woman,176
rhop00287,DENMARK,woman,163
rhop00288,DENMARK,woman,170
rhop00289,DENMARK,woman,163
rhop00290,DENMARK,woman,172
rhop00291,DENMARK,woman,167
rhop00292,DENMARK,woman,158
rhop00293,DENMARK,woman,177
rhop00294,DENMARK,woman,164
rhop00295,DENMARK,woman,164
rhop00296,DENMARK,woman,166
rhop00297,DENMARK,woman,158
rhop00298,DENMARK,woman,165
rhop00299,DENMARK,woman,168
rhop00300,DENMARK,woman,165
rhop00301,DENMARK,woman,158
rhop00302,DENMARK,woman,171
rhop00303,DENMARK,woman,171
rhop00304,DENMARK,woman,169
rhop00305,DENMARK,woman,171
rhop00306,DENMARK,woman,165
rhop00307,DENMARK,woman,172
rhop00308,DENMARK,woman,164
rhop00309,DENMARK,woman,166
rhop00310,DENMARK,woman,170
rhop00311,DENMARK,woman,168
rhop00312,DENMARK,woman,168
rhop00313,DENMARK,woman,168
rhop00314,DENMARK,woman,164
rhop00315,DENMARK,woman,165
rhop00316,DENMARK,woman,165
rhop00317,DENMARK,woman,169
rhop00318,DENMARK,woman,164
rhop00319,DENMARK,woman,166
rhop00320,DENMARK,woman,171
rhop00321,DENMARK,woman,171
rhop00322,DENMARK,woman,172
rhop00323,DENMARK,woman,163
rhop00324,DENMARK,woman,170
rhop00325,DENMARK,woman,164
rhop00326,DENMARK,woman,168
rhop00327,DENMARK,woman,163
rhop00328,DENMARK,woman,171
rhop00329,DENMARK,woman,167
rhop00330,DENMARK,woman,166
rhop00331,DENMARK,woman,172
rhop00332,DENMARK,woman,163
rhop00333,DENMARK,woman,167
rhop00334,DENMARK,woman,169
rhop00335,DENMARK,woman,165
rhop00336,DENMARK,woman,167
rhop00337,DENMARK,woman,163
rhop00338,DENMARK,woman,170
rhop00339,DENMARK,woman,172
rhop00340,DENMARK,woman,163
rhop00341,DENMARK,woman,165
rhop00342,DENMARK,woman,163
rhop00343,DENMARK,woman,171
rhop00344,DENMARK,woman,168
rhop00345,DENMARK,woman,165
rhop00346,DENMARK,woman,168
rhop00347,DENMARK,woman,168
rhop00348,DENMARK,woman,167
rhop00349,DENMARK,woman,169
rhop00350,DENMARK,woman,172
rhop00351,DENMARK,woman,167
rhop00352,DENMARK,woman,171
rhop00353,DENMARK,woman,165
rhop00354,DENMARK,woman,171
rhop00355,DENMARK,woman,171
rhop00356,DENMARK,woman,170
rhop00357,ITALY,man,189
rhop00358,ITALY,man,167
rhop00359,ITALY,man,172
rhop00360,ITALY,man,182
rhop00361,ITALY,man,171
rhop00362,ITALY,man,170
rhop00363,ITALY,man,182
rhop00364,ITALY,man,193
rhop00365,ITALY,man,178
rhop00366,ITALY,man,168
rhop00367,ITALY,man,164
rhop00368,ITALY,man,186
rhop00369,ITALY,man,194
rhop00370,ITALY,man,170
rhop00371,ITALY,man,174
rhop00372,ITALY,man,165
rhop00373,ITALY,man,178
rhop00374,ITALY,man,167
rhop00375,ITALY,man,185
rhop00376,ITALY,man,180
rhop00377,ITALY,man,173
rhop00378,ITALY,man,167
rhop00379,ITALY,man,177
rhop00380,ITALY,man,178
rhop00381,ITALY,man,194
rhop00382,ITALY,man,189
rhop00383,ITALY,man,181
rhop00384,ITALY,man,192
rhop00385,ITALY,man,171
rhop00386,ITALY,man,178
rhop00387,ITALY,man,166
rhop00388,ITALY,man,188
rhop00389,ITALY,man,165
rhop00390,ITALY,man,192
rhop00391,ITALY,man,176
rhop00392,ITALY,man,179
rhop00393,ITALY,man,179
rhop00394,ITALY,man,174
rhop00395,ITALY,man,173
rhop00396,ITALY,man,173
rhop00397,ITALY,man,180
rhop00398,ITALY,man,180
rhop00399,ITALY,man,178
rhop00400,ITALY,man,177
rhop00401,ITALY,man,176
rhop00402,ITALY,man,183
rhop00403,ITALY,man,177
rhop00404,ITALY,man,174
rhop00405,ITALY,man,180
rhop00406,ITALY,man,178
rhop00407,ITALY,man,179
rhop00408,ITALY,man,174
rhop00409,ITALY,man,174
rhop00410,ITALY,man,178
rhop00411,ITALY,man,181
rhop00412,ITALY,man,182
rhop00413,ITALY,man,183
rhop00414,ITALY,man,180
rhop00415,ITALY,man,183
rhop00416,ITALY,man,181
rhop00417,ITALY,man,173
rhop00418,ITALY,man,175
rhop00419,ITALY,man,182
rhop00420,ITALY,man,179
rhop00421,ITALY,man,183
rhop00422,ITALY,man,178
rhop00423,ITALY,man,176
rhop00424,ITALY,man,175
rhop00425,ITALY,man,179
rhop00426,ITALY,man,175
rhop00427,ITALY,man,176
rhop00428,ITALY,man,173
rhop00429,ITALY,man,174
rhop00430,ITALY,man,173
rhop00431,ITALY,man,177
rhop00432,ITALY,man,179
rhop00433,ITALY,man,181
rhop00434,ITALY,man,183
rhop00435,ITALY,man,173
rhop00436,ITALY,man,179
rhop00437,ITALY,man,173
rhop00438,ITALY,man,178
rhop00439,ITALY,man,183
rhop00440,ITALY,man,182
rhop00441,ITALY,man,178
rhop00442,ITALY,man,179
rhop00443,ITALY,man,174
rhop00444,ITALY,man,181
rhop00445,ITALY,man,174
rhop00446,ITALY,woman,169
rhop00447,ITALY,woman,167
rhop00448,ITALY,woman,175
rhop00449,ITALY,woman,175
rhop00450,ITALY,woman,171
rhop00451,ITALY,woman,177
rhop00452,ITALY,woman,162
rhop00453,ITALY,woman,159
rhop00454,ITALY,woman,159
rhop00455,ITALY,woman,165
rhop00456,ITALY,woman,166
rhop00457,ITALY,woman,160
rhop00458,ITALY,woman,162
rhop00459,ITALY,woman,162
rhop00460,ITALY,woman,175
rhop00461,ITALY,woman,172
rhop00462,ITALY,woman,172
rhop00463,ITALY,woman,163
rhop00464,ITALY,woman,173
rhop00465,ITALY,woman,165
rhop00466,ITALY,woman,162
rhop00467,ITALY,woman,177
rhop00468,ITALY,woman,177
rhop00469,ITALY,woman,171
rhop00470,ITALY,woman,160
rhop00471,ITALY,woman,174
rhop00472,ITALY,woman,174
rhop00473,ITALY,woman,168
rhop00474,ITALY,woman,162
rhop00475,ITALY,woman,158
rhop00476,ITALY,woman,160
rhop00477,ITALY,woman,176
rhop00478,ITALY,woman,168
rhop00479,ITALY,woman,162
rhop00480,ITALY,woman,167
rhop00481,ITALY,woman,163
rhop00482,ITALY,woman,164
rhop00483,ITALY,woman,166
rhop00484,ITALY,woman,166
rhop00485,ITALY,woman,169
rhop00486,ITALY,woman,167
rhop00487,ITALY,woman,168
rhop00488,ITALY,woman,166
rhop00489,ITALY,woman,170
rhop00490,ITALY,woman,167
rhop00491,ITALY,woman,167
rhop00492,ITALY,woman,163
rhop00493,ITALY,woman,165
rhop00494,ITALY,woman,172
rhop00495,ITALY,woman,166
rhop00496,ITALY,woman,165
rhop00497,ITALY,woman,164
rhop00498,ITALY,woman,164
rhop00499,ITALY,woman,165
rhop00500,ITALY,woman,166
rhop00501,ITALY,woman,172
rhop00502,ITALY,woman,164
rhop00503,ITALY,woman,166
rhop00504,ITALY,woman,168
rhop00505,ITALY,woman,169
rhop00506,ITALY,woman,170
rhop00507,ITALY,woman,169
rhop00508,ITALY,woman,165
rhop00509,ITALY,woman,168
rhop00510,ITALY,woman,165
rhop00511,ITALY,woman,170
rhop00512,ITALY,woman,168
rhop00513,ITALY,woman,166
rhop00514,ITALY,woman,165
rhop00515,ITALY,woman,169
rhop00516,ITALY,woman,165
rhop00517,ITALY,woman,165
rhop00518,ITALY,woman,168
rhop00519,ITALY,woman,163
rhop00520,ITALY,woman,169
rhop00521,ITALY,woman,171
rhop00522,ITALY,woman,171
rhop00523,ITALY,woman,166
rhop00524,ITALY,woman,165
rhop00525,ITALY,woman,168
rhop00526,ITALY,woman,165
rhop00527,ITALY,woman,165
rhop00528,ITALY,woman,168
rhop00529,ITALY,woman,166
rhop00530,ITALY,woman,172
rhop00531,ITALY,woman,165
rhop00532,ITALY,woman,166
rhop00533,ITALY,woman,167
rhop00534,ITALY,woman,167
rhop00535,JAPAN,man,180
rhop00536,JAPAN,man,185
rhop00537,JAPAN,man,161
rhop00538,JAPAN,man,179
rhop00539,JAPAN,man,168
rhop00540,JAPAN,man,190
rhop00541,JAPAN,man,181
rhop00542,JAPAN,man,175
rhop00543,JAPAN,man,167
rhop00544,JAPAN,man,167
rhop00545,JAPAN,man,164
rhop00546,JAPAN,man,184
rhop00547,JAPAN,man,172
rhop00548,JAPAN,man,182
rhop00549,JAPAN,man,172
rhop00550,JAPAN,man,170
rhop00551,JAPAN,man,177
rhop00552,JAPAN,man,191
rhop00553,JAPAN,man,171
rhop00554,JAPAN,man,180
rhop00555,JAPAN,man,192
rhop00556,JAPAN,man,185
rhop00557,JAPAN,man,192
rhop00558,JAPAN,man,169
rhop00559,JAPAN,man,188
rhop00560,JAPAN,man,174
rhop00561,JAPAN,man,163
rhop00562,JAPAN,man,185
rhop00563,JAPAN,man,188
rhop00564,JAPAN,man,166
rhop00565,JAPAN,man,185
rhop00566,JAPAN,man,188
rhop00567,JAPAN,man,177
rhop00568,JAPAN,man,183
rhop00569,JAPAN,man,173
rhop00570,JAPAN,man,171
rhop00571,JAPAN,man,177
rhop00572,JAPAN,man,174
rhop00573,JAPAN,man,168
rhop00574,JAPAN,man,180
rhop00575,JAPAN,man,170
rhop00576,JAPAN,man,177
rhop00577,JAPAN,man,176
rhop00578,JAPAN,man,179
rhop00579,JAPAN,man,177
rhop00580,JAPAN,man,168
rhop00581,JAPAN,man,177
rhop00582,JAPAN,man,179
rhop00583,JAPAN,man,169
rhop00584,JAPAN,man,168
rhop00585,JAPAN,man,171
rhop00586,JAPAN,man,171
rhop00587,JAPAN,man,171
rhop00588,JAPAN,man,176
rhop00589,JAPAN,man,168
rhop00590,JAPAN,man,173
rhop00591,JAPAN,man,170
rhop00592,JAPAN,man,169
rhop00593,JAPAN,man,174
rhop00594,JAPAN,man,173
rhop00595,JAPAN,man,170
rhop00596,JAPAN,man,180
rhop00597,JAPAN,man,178
rhop00598,JAPAN,man,174
rhop00599,JAPAN,man,178
rhop00600,JAPAN,man,177
rhop00601,JAPAN,man,174
rhop00602,JAPAN,man,176
rhop00603,JAPAN,man,168
rhop00604,JAPAN,man,173
rhop00605,JAPAN,man,177
rhop00606,JAPAN,man,174
rhop00607,JAPAN,man,168
rhop00608,JAPAN,man,179
rhop00609,JAPAN,man,172
rhop00610,JAPAN,man,173
rhop00611,JAPAN,man,180
rhop00612,JAPAN,man,174
rhop00613,JAPAN,man,169
rhop00614,JAPAN,man,172
rhop00615,JAPAN,man,177
rhop00616,JAPAN,man,176
rhop00617,JAPAN,man,178
rhop00618,JAPAN,man,180
rhop00619,JAPAN,man,175
rhop00620,JAPAN,man,171
rhop00621,JAPAN,man,177
rhop00622,JAPAN,man,168
rhop00623,JAPAN,man,176
rhop00624,JAPAN,woman,161
rhop00625,JAPAN,woman,168
rhop00626,JAPAN,woman,162
rhop00627,JAPAN,woman,163
rhop00628,JAPAN,woman,158
rhop00629,JAPAN,woman,156
rhop00630,JAPAN,woman,160
rhop00631,JAPAN,woman,159
rhop00632,JAPAN,woman,167
rhop00633,JAPAN,woman,153
rhop00634,JAPAN,woman,158
rhop00635,JAPAN,woman,173
rhop00636,JAPAN,woman,170
rhop00637,JAPAN,woman,160
rhop00638,JAPAN,woman,172
rhop00639,JAPAN,woman,161
rhop00640,JAPAN,woman,165
rhop00641,JAPAN,woman,157
rhop00642,JAPAN,woman,160
rhop00643,JAPAN,woman,175
rhop00644,JAPAN,woman,153
rhop00645,JAPAN,woman,166
rhop00646,JAPAN,woman,152
rhop00647,JAPAN,woman,152
rhop00648,JAPAN,woman,158
rhop00649,JAPAN,woman,158
rhop00650,JAPAN,woman,163
rhop00651,JAPAN,woman,158
rhop00652,JAPAN,woman,167
rhop00653,JAPAN,woman,152
rhop00654,JAPAN,woman,152
rhop00655,JAPAN,woman,173
rhop00656,JAPAN,woman,166
rhop00657,JAPAN,woman,169
rhop00658,JAPAN,woman,165
rhop00659,JAPAN,woman,161
rhop00660,JAPAN,woman,165
rhop00661,JAPAN,woman,160
rhop00662,JAPAN,woman,160
rhop00663,JAPAN,woman,170
rhop00664,JAPAN,woman,167
rhop00665,JAPAN,woman,160
rhop00666,JAPAN,woman,158
rhop00667,JAPAN,woman,169
rhop00668,JAPAN,woman,159
rhop00669,JAPAN,woman,168
rhop00670,JAPAN,woman,170
rhop00671,JAPAN,woman,162
rhop00672,JAPAN,woman,161
rhop00673,JAPAN,woman,167
rhop00674,JAPAN,woman,168
rhop00675,JAPAN,woman,168
rhop00676,JAPAN,woman,159
rhop00677,JAPAN,woman,167
rhop00678,JAPAN,woman,165
rhop00679,JAPAN,woman,158
rhop00680,JAPAN,woman,158
rhop00681,JAPAN,woman,160
rhop00682,JAPAN,woman,169
rhop00683,JAPAN,woman,162
rhop00684,JAPAN,woman,160
rhop00685,JAPAN,woman,170
rhop00686,JAPAN,woman,167
rhop00687,JAPAN,woman,162
rhop00688,JAPAN,woman,167
rhop00689,JAPAN,woman,167
rhop00690,JAPAN,woman,164
rhop00691,JAPAN,woman,168
rhop00692,JAPAN,woman,158
rhop00693,JAPAN,woman,162
rhop00694,JAPAN,woman,158
rhop00695,JAPAN,woman,161
rhop00696,JAPAN,woman,160
rhop00697,JAPAN,woman,162
rhop00698,JAPAN,woman,159
rhop00699,JAPAN,woman,161
rhop00700,JAPAN,woman,166
rhop00701,JAPAN,woman,159
rhop00702,JAPAN,woman,168
rhop00703,JAPAN,woman,161
rhop00704,JAPAN,woman,168
rhop00705,JAPAN,woman,161
rhop00706,JAPAN,woman,168
rhop00707,JAPAN,woman,163
rhop00708,JAPAN,woman,161
rhop00709,JAPAN,woman,170
rhop00710,JAPAN,woman,164
rhop00711,JAPAN,woman,170
rhop00712,JAPAN,woman,164
rhop00713,KOREA,man,167
rhop00714,KOREA,man,175
rhop00715,KOREA,man,168
rhop00716,KOREA,man,180
rhop00717,KOREA,man,164
rhop00718,KOREA,man,178
rhop00719,KOREA,man,185
rhop00720,KOREA,man,184
rhop00721,KOREA,man,168
rhop00722,KOREA,man,164
rhop00723,KOREA,man,183
rhop00724,KOREA,man,170
rhop00725,KOREA,man,168
rhop00726,KOREA,man,179
rhop00727,KOREA,man,185
rhop00728,KOREA,man,192
rhop00729,KOREA,man,172
rhop00730,KOREA,man,187
rhop00731,KOREA,man,173
rhop00732,KOREA,man,165
rhop00733,KOREA,man,179
rhop00734,KOREA,man,184
rhop00735,KOREA,man,192
rhop00736,KOREA,man,184
rhop00737,KOREA,man,163
rhop00738,KOREA,man,183
rhop00739,KOREA,man,181
rhop00740,KOREA,man,168
rhop00741,KOREA,man,185
rhop00742,KOREA,man,188
rhop00743,KOREA,man,189
rhop00744,KOREA,man,174
rhop00745,KOREA,man,177
rhop00746,KOREA,man,179
rhop00747,KOREA,man,171
rhop00748,KOREA,man,172
rhop00749,KOREA,man,177
rhop00750,KOREA,man,171
rhop00751,KOREA,man,171
rhop00752,KOREA,man,176
rhop00753,KOREA,man,174
rhop00754,KOREA,man,170
rhop00755,KOREA,man,170
rhop00756,KOREA,man,175
rhop00757,KOREA,man,174
rhop00758,KOREA,man,178
rhop00759,KOREA,man,176
rhop00760,KOREA,man,174
rhop00761,KOREA,man,173
rhop00762,KOREA,man,178
rhop00763,KOREA,man,175
rhop00764,KOREA,man,172
rhop00765,KOREA,man,177
rhop00766,KOREA,man,181
rhop00767,KOREA,man,174
rhop00768,KOREA,man,173
rhop00769,KOREA,man,174
rhop00770,KOREA,man,171
rhop00771,KOREA,man,177
rhop00772,KOREA,man,178
rhop00773,KOREA,man,172
rhop00774,KOREA,man,178
rhop00775,KOREA,man,175
rhop00776,KOREA,man,169
rhop00777,KOREA,man,181
rhop00778,KOREA,man,175
rhop00779,KOREA,man,180
rhop00780,KOREA,man,175
rhop00781,KOREA,man,174
rhop00782,KOREA,man,173
rhop00783,KOREA,man,180
rhop00784,KOREA,man,178
rhop00785,KOREA,man,171
rhop00786,KOREA,man,177
rhop00787,KOREA,man,178
rhop00788,KOREA,man,170
rhop00789,KOREA,man,178
rhop00790,KOREA,man,169
rhop00791,KOREA,man,171
rhop00792,KOREA,man,169
rhop00793,KOREA,man,175
rhop00794,KOREA,man,180
rhop00795,KOREA,man,172
rhop00796,KOREA,man,181
rhop00797,KOREA,man,177
rhop00798,KOREA,man,169
rhop00799,KOREA,man,176
rhop00800,KOREA,man,180
rhop00801,KOREA,man,176
rhop00802,KOREA,woman,161
rhop00803,KOREA,woman,155
rhop00804,KOREA,woman,168
rhop00805,KOREA,woman,170
rhop00806,KOREA,woman,157
rhop00807,KOREA,woman,171
rhop00808,KOREA,woman,161
rhop00809,KOREA,woman,167
rhop00810,KOREA,woman,157
rhop00811,KOREA,woman,161
rhop00812,KOREA,woman,167
rhop00813,KOREA,woman,164
rhop00814,KOREA,woman,172
rhop00815,KOREA,woman,166
rhop00816,KOREA,woman,166
rhop00817,KOREA,woman,157
rhop00818,KOREA,woman,157
rhop00819,KOREA,woman,157
rhop00820,KOREA,woman,175
rhop00821,KOREA,woman,166
rhop00822,KOREA,woman,169
rhop00823,KOREA,woman,161
rhop00824,KOREA,woman,157
rhop00825,KOREA,woman,166
rhop00826,KOREA,woman,162
rhop00827,KOREA,woman,171
rhop00828,KOREA,woman,167
rhop00829,KOREA,woman,168
rhop00830,KOREA,woman,173
rhop00831,KOREA,woman,156
rhop00832,KOREA,woman,166
rhop00833,KOREA,woman,175
rhop00834,KOREA,woman,162
